product_name,product_type,sales_volume,price,sale_time,date,platform,brand,reviews,rating
Centralized client-driven process improvement,Mặt nạ ngủ,4796,33.06,Tháng 11,2022-04-09,Lazada,Aveeno,226,3.9
Team-oriented client-server core,Serum vitamin C,1004,298.11,Tháng 4,2023-11-22,Lazada,TIGI,51,1.8
Cross-group homogeneous intranet,Bánh kẹo,3546,350.64,Tháng 10,2022-05-28,Shopee,Freeman,15,4.7
Synergized systematic firmware,Phụ kiện điện thoại,1277,36.62,Tháng 8,2024-05-22,Lazada,Samsung,35,1.2
Ameliorated logistical open architecture,Văn phòng phẩm,3165,472.9,Tháng 6,2022-04-22,Shopee,Vichy,225,4.2
Self-enabling 4thgeneration service-desk,Đồ handmade,1917,359.92,Tháng 6,2022-02-03,Lazada,Clinique,685,2.0
Exclusive intermediate structure,Sản phẩm tập thể dục,2141,468.2,Tháng 9,2023-05-15,Shopee,SK-II,379,1.2
Cloned encompassing intranet,Serum retinol,404,202.31,Tháng 12,2022-05-16,Shopee,Glade,402,3.3
Compatible actuating portal,Sản phẩm công nghệ,2814,290.37,Tháng 12,2022-11-16,Shopee,Estée Lauder,583,4.4
Profound tertiary data-warehouse,Serum retinol,518,44.62,Tháng 7,2024-03-19,Lazada,Apple,736,1.2
Distributed dynamic methodology,Máy lọc không khí,3167,111.29,Tháng 2,2023-01-29,Shopee,Hada Labo,119,3.6
Realigned tangible extranet,Điện tử,2255,267.05,Tháng 11,2024-10-16,Lazada,SNAILWHITE,982,3.4
Enterprise-wide attitude-oriented ability,Sản phẩm du lịch,3610,199.5,Tháng 2,2024-02-24,Lazada,Benton,807,3.0
Focused well-modulated policy,Thiết bị điện tử,3350,390.41,Tháng 8,2022-11-16,Shopee,Nike,181,4.3
Self-enabling discrete function,Đồ gia dụng,2476,454.33,Tháng 5,2024-02-12,Lazada,Pampers,306,3.0
Synergistic cohesive model,Thực phẩm,4344,321.72,Tháng 4,2023-09-19,Shopee,Maybelline,607,3.7
Reactive composite product,Mỹ phẩm Hàn Quốc,1851,442.23,Tháng 7,2022-05-15,Shopee,Drunk Elephant,95,3.0
Reduced incremental policy,Sách,2547,284.19,Tháng 11,2022-02-19,Shopee,SkinCeuticals,329,3.0
Optional value-added throughput,Thực phẩm sạch,4225,233.05,Tháng 8,2024-10-03,Shopee,Dior,537,2.3
Multi-tiered secondary orchestration,Dầu xả,3463,19.59,Tháng 5,2022-08-10,Shopee,Nestle,89,1.1
Grass-roots contextually-based methodology,Sản phẩm dưỡng tóc,4033,473.65,Tháng 8,2024-07-27,Shopee,Revlon,321,1.6
Devolved hybrid database,Sản phẩm chống gàu,2863,198.9,Tháng 11,2024-07-08,Lazada,Farsali,336,3.1
Secured radical data-warehouse,Sữa tắm,1702,117.64,Tháng 10,2024-10-20,Shopee,Anastasia Beverly Hills,414,1.7
Phased zero-defect system engine,Điện thoại thông minh,2427,105.26,Tháng 7,2022-03-08,Shopee,SNAILWHITE,237,3.2
Fundamental executive installation,Nước hoa nữ,4646,21.27,Tháng 11,2023-01-10,Lazada,The Inkey List,478,1.1
Profound discrete encryption,Mỹ phẩm châu Âu,1123,28.04,Tháng 5,2023-12-10,Shopee,Glade,332,3.5
Inverse zero tolerance framework,Phụ kiện thời trang,4528,432.65,Tháng 11,2023-11-19,Lazada,Neutrogena,200,2.3
Programmable intermediate budgetary management,Bánh ngọt,1498,494.8,Tháng 5,2023-11-07,Shopee,Kraft,457,2.5
Vision-oriented intermediate Local Area Network,Thực phẩm chức năng,1064,59.94,Tháng 4,2024-06-07,Lazada,Shiseido,525,2.1
Mandatory mobile groupware,Nước cân bằng,4507,229.05,Tháng 4,2022-09-06,Shopee,Etude House,814,1.8
Customizable radical synergy,Đồ ăn nhanh,2071,215.15,Tháng 5,2021-12-14,Lazada,Benefit Cosmetics,447,4.9
Profound needs-based project,Son môi,1272,492.44,Tháng 4,2024-08-13,Lazada,H&M,417,4.2
Secured coherent Internet solution,Đồ chơi,2390,14.86,Tháng 11,2022-09-15,Shopee,LG,610,1.0
Grass-roots systematic parallelism,Máy tính xách tay,4360,262.18,Tháng 4,2022-04-13,Shopee,Pond's,925,2.4
Cross-group user-facing Graphical User Interface,Mỹ phẩm Hàn Quốc,4375,322.48,Tháng 3,2023-02-13,Shopee,Maybelline,332,4.7
Pre-emptive analyzing parallelism,Mặt nạ dưỡng da,3582,34.36,Tháng 11,2022-12-09,Shopee,Dove,905,3.7
Distributed heuristic utilization,Thực phẩm sạch,2773,164.09,Tháng 12,2023-02-06,Lazada,Nike,596,1.7
User-centric object-oriented database,Gia dụng,938,426.29,Tháng 11,2023-07-29,Shopee,Nike,387,4.5
Pre-emptive web-enabled middleware,Bột ăn dặm,943,71.49,Tháng 5,2024-03-30,Shopee,Nike,617,1.4
Cloned maximized installation,Sản phẩm bảo vệ môi trường,3667,454.59,Tháng 10,2023-05-28,Lazada,Jojoba Oil,227,4.9
Innovative stable pricing structure,Bộ sản phẩm chăm sóc da,29,128.5,Tháng 1,2024-10-02,Lazada,Wella,644,1.3
Multi-lateral empowering approach,Sản phẩm chống lão hóa,4995,223.14,Tháng 2,2023-04-08,Lazada,Shiseido,618,2.3
Networked 3rdgeneration Internet solution,Máy lọc không khí,329,315.2,Tháng 12,2021-11-04,Shopee,Clarins,447,1.0
Secured needs-based throughput,Mỹ phẩm hữu cơ,4401,424.49,Tháng 1,2023-07-27,Shopee,Avène,565,2.2
Operative stable standardization,Thực phẩm chức năng,3799,311.75,Tháng 3,2023-04-11,Lazada,Dove Body Wash,314,3.0
Focused bifurcated circuit,Nội thất,763,64.3,Tháng 5,2024-09-08,Lazada,Physiogel,222,4.4
Switchable national firmware,Kem dưỡng,3731,385.47,Tháng 11,2022-09-07,Lazada,Pampers,862,3.5
Multi-lateral optimal service-desk,Bút kẻ mày,1750,497.39,Tháng 8,2024-09-14,Lazada,Laneige,246,3.2
Re-engineered intangible Internet solution,Mỹ phẩm,3911,229.76,Tháng 4,2024-02-07,Lazada,Dell,331,2.6
Proactive modular circuit,Thực phẩm sạch,2153,362.42,Tháng 8,2024-01-14,Lazada,Shiseido,390,4.8
Versatile content-based installation,Mỹ phẩm hữu cơ,3558,440.01,Tháng 2,2022-08-13,Lazada,P&G,630,1.8
Reduced incremental migration,Sản phẩm giảm thâm,3103,377.94,Tháng 5,2022-10-17,Lazada,Pond's,116,4.1
Intuitive real-time firmware,Đồ chơi giáo dục,1984,162.01,Tháng 5,2023-05-18,Shopee,Urban Decay,716,1.6
Enhanced systematic functionalities,Sản phẩm giảm thâm,4957,114.99,Tháng 9,2024-10-06,Lazada,Estée Lauder,394,4.0
Balanced 24/7 customer loyalty,Máy lọc không khí,4454,398.86,Tháng 1,2023-10-27,Shopee,Benton,172,3.1
Open-source stable moderator,Đồ chơi giáo dục,1877,430.25,Tháng 12,2022-03-27,Lazada,Drunk Elephant,967,1.5
Inverse transitional initiative,Nước hoa,127,440.79,Tháng 8,2024-09-03,Shopee,Glade,593,2.8
Cross-platform demand-driven secured line,Đồ dùng trẻ em,2349,88.8,Tháng 10,2024-06-20,Lazada,Adidas,53,3.1
Innovative non-volatile encoding,Máy sấy tóc,4255,257.64,Tháng 10,2023-03-30,Shopee,L'Occitane,978,4.1
Operative 24/7 archive,Mỹ phẩm Nhật Bản,4331,120.11,Tháng 11,2022-09-09,Lazada,The Ordinary,258,4.8
Sharable non-volatile standardization,Mặt nạ thiên nhiên,2282,430.58,Tháng 6,2023-12-05,Lazada,Fa,47,3.6
Polarized national contingency,Nội thất,832,368.82,Tháng 1,2021-12-14,Shopee,Dell,730,3.0
Fundamental zero administration core,Dầu tẩy trang,2575,272.67,Tháng 9,2023-11-28,Shopee,Revlon Colorstay,719,3.9
Programmable human-resource open architecture,Máy tính xách tay,3039,82.02,Tháng 10,2022-10-25,Lazada,Dove,959,4.1
Multi-channeled multi-tasking migration,Máy làm đẹp,3715,303.1,Tháng 11,2022-09-27,Shopee,Head & Shoulders,80,4.9
Object-based upward-trending workforce,Sản phẩm dưỡng móng,4806,367.45,Tháng 3,2022-09-08,Shopee,L'Oreal Elvive,415,3.5
Pre-emptive 24hour framework,Mặt nạ thiên nhiên,3551,174.68,Tháng 6,2023-07-18,Lazada,Etude House,236,2.5
Quality-focused demand-driven moratorium,Mỹ phẩm,1456,339.67,Tháng 11,2023-09-16,Lazada,P&G,487,1.2
Exclusive neutral definition,Máy tính xách tay,4626,467.89,Tháng 10,2024-02-04,Shopee,Coca-Cola,907,2.7
Adaptive fault-tolerant capacity,Nội thất,4769,190.58,Tháng 7,2024-03-05,Lazada,Dove Body Wash,559,2.0
Re-contextualized maximized toolset,Sản phẩm công nghệ,526,248.78,Tháng 6,2024-08-17,Shopee,Neutrogena,313,1.8
Proactive disintermediate architecture,Kem dưỡng,3363,474.07,Tháng 12,2024-10-11,Lazada,L'Oreal Elvive,681,3.0
Managed systemic help-desk,Gel lô hội,339,422.79,Tháng 9,2024-02-23,Shopee,Revlon,347,2.4
Inverse user-facing protocol,Sản phẩm dưỡng móng,208,201.4,Tháng 6,2022-09-29,Shopee,Huggies,801,4.0
Synergized secondary toolset,Nước hoa nam,1230,325.36,Tháng 8,2022-08-06,Shopee,Aveeno,734,4.8
Exclusive global solution,Sản phẩm chăm sóc sức khỏe,3151,222.13,Tháng 4,2023-11-24,Lazada,Shiseido,894,2.5
Sharable multimedia contingency,Mặt nạ thiên nhiên,4489,144.31,Tháng 9,2023-01-22,Lazada,Huda Beauty,440,3.4
Phased executive attitude,Thời trang,3319,128.09,Tháng 1,2022-04-15,Lazada,Revlon Colorstay,656,4.4
Versatile multimedia support,Điện thoại thông minh,189,486.15,Tháng 6,2024-05-21,Shopee,Laneige,636,3.2
Horizontal solution-oriented neural-net,Sản phẩm giảm thâm,2487,49.48,Tháng 5,2024-06-05,Shopee,Maybelline,901,1.5
Cross-group neutral ability,Nội thất,3029,31.32,Tháng 9,2022-04-25,Shopee,Lancôme,959,1.7
Triple-buffered even-keeled help-desk,Serum retinol,3428,346.26,Tháng 1,2022-04-22,Shopee,Huggies,307,4.4
Down-sized coherent productivity,Sản phẩm làm sạch,3448,152.02,Tháng 4,2024-02-12,Shopee,Laneige,785,1.6
Fundamental static migration,Bộ sản phẩm chăm sóc da,4721,305.83,Tháng 4,2024-07-08,Lazada,Urban Decay,444,3.8
Intuitive well-modulated policy,Sách,2619,189.7,Tháng 10,2023-08-11,Lazada,Benton,537,2.1
Intuitive web-enabled budgetary management,Nội thất,1744,293.18,Tháng 4,2023-07-05,Lazada,Hada Labo,112,3.3
Intuitive background pricing structure,Đồ uống,2004,282.88,Tháng 3,2022-05-20,Lazada,Nike,870,3.3
Multi-layered bandwidth-monitored alliance,Nước cân bằng,716,444.75,Tháng 6,2023-02-24,Shopee,Cosrx,508,4.1
Optimized didactic interface,Đồ chơi giáo dục,3457,103.76,Tháng 1,2022-07-02,Lazada,Freeman,496,3.2
Proactive local software,Sản phẩm công nghệ,1292,112.72,Tháng 10,2022-07-04,Lazada,Althea,996,4.2
Implemented web-enabled firmware,Tinh chất dưỡng da,557,276.96,Tháng 5,2023-08-18,Lazada,Avène,370,3.0
Digitized interactive projection,Mặt nạ thiên nhiên,4119,142.45,Tháng 4,2022-11-09,Lazada,Shu Uemura,900,2.8
Devolved 5thgeneration flexibility,Kem chống nắng hóa học,534,50.52,Tháng 7,2023-02-25,Shopee,Nivea,738,3.0
Business-focused neutral success,Gel lô hội,3594,115.16,Tháng 11,2024-08-26,Lazada,Too Faced,262,2.8
Versatile scalable access,Sản phẩm chăm sóc sức khỏe,1653,365.31,Tháng 6,2023-09-30,Lazada,Dior,571,1.0
Self-enabling scalable workforce,Máy làm đẹp,503,396.27,Tháng 7,2022-01-20,Lazada,Coca-Cola,933,4.5
Operative intangible capability,Mặt nạ dưỡng da,801,313.74,Tháng 8,2022-02-26,Shopee,Maybelline,130,3.4
Synergized multimedia projection,Sản phẩm bảo vệ môi trường,3624,412.39,Tháng 1,2022-05-18,Lazada,Fanta,107,4.5
Assimilated zero tolerance groupware,Sản phẩm giảm thâm,743,103.6,Tháng 11,2022-10-11,Lazada,Physiogel,1,3.1
User-friendly client-server instruction set,Mì ăn liền,1125,50.31,Tháng 8,2022-01-14,Shopee,L'Occitane,25,4.0
Upgradable multimedia success,Sản phẩm dưỡng tóc,585,89.66,Tháng 6,2024-07-13,Lazada,Farsali,373,4.4
Enhanced radical leverage,Mì ăn liền,2216,442.21,Tháng 9,2022-11-02,Lazada,Neutrogena,384,1.6
Persevering needs-based solution,Dầu gội,1023,274.44,Tháng 10,2023-10-24,Shopee,Revlon,921,2.0
Advanced 4thgeneration throughput,Túi xách,4081,217.82,Tháng 6,2022-06-21,Lazada,Nivea Men,496,2.6
Self-enabling client-driven extranet,Điện tử,4412,406.07,Tháng 12,2023-02-18,Shopee,Kiehl's,220,3.8
Horizontal multi-tasking emulation,Kem mắt,4917,28.7,Tháng 6,2022-08-20,Shopee,L'Oréal,191,4.4
Face-to-face client-driven time-frame,Mỹ phẩm,2329,151.54,Tháng 12,2022-01-15,Shopee,Maybelline,15,2.3
Public-key local info-mediaries,Kem dưỡng,2330,339.0,Tháng 10,2022-03-25,Shopee,Yves Saint Laurent,475,4.5
Quality-focused analyzing alliance,Sản phẩm xịt khoáng,4328,359.52,Tháng 2,2022-11-29,Lazada,Drunk Elephant,220,3.2
Secured incremental forecast,Mỹ phẩm Hàn Quốc,1093,495.63,Tháng 5,2022-01-09,Lazada,Tarte Cosmetics,457,4.5
Horizontal responsive challenge,Sản phẩm bảo vệ môi trường,1133,26.45,Tháng 1,2022-10-15,Shopee,Jojoba Oil,402,1.3
Cross-group modular workforce,Đồ uống,3947,418.45,Tháng 6,2024-07-03,Lazada,Revlon Colorstay,432,2.5
Open-source explicit help-desk,Kem dưỡng,158,61.14,Tháng 9,2024-03-11,Shopee,Kraft,477,1.9
Programmable bottom-line groupware,Sản phẩm làm sạch sâu,1332,416.23,Tháng 2,2022-11-02,Lazada,Simple,43,4.5
Managed holistic customer loyalty,Đồ trang trí,2710,186.33,Tháng 8,2024-07-26,Shopee,Mason Jar,296,1.0
Automated asynchronous throughput,Tinh chất dưỡng da,4377,285.51,Tháng 12,2022-03-10,Shopee,Dr. Jart+,409,2.0
Front-line interactive orchestration,Đồ ăn nhanh,3232,257.14,Tháng 10,2022-03-26,Shopee,Kose,756,1.1
Persistent multi-state complexity,Đồ dùng trẻ em,3404,93.82,Tháng 11,2023-06-19,Shopee,O.P.I.,410,1.4
Operative static forecast,Sản phẩm xịt khoáng,4786,474.46,Tháng 8,2024-08-21,Lazada,Too Faced,203,1.2
Programmable disintermediate data-warehouse,Máy lọc không khí,2068,357.98,Tháng 7,2022-07-10,Shopee,Dove Men+Care,143,4.0
Total zero tolerance interface,Sản phẩm làm mềm da,1213,81.35,Tháng 12,2024-09-08,Shopee,Dr. Jart+,498,3.9
Re-contextualized actuating policy,Đồ gỗ,1976,10.54,Tháng 3,2021-11-14,Lazada,Lancôme,341,3.9
Quality-focused bifurcated framework,Sản phẩm tập thể dục,3468,344.95,Tháng 12,2021-12-01,Lazada,LG,988,4.6
Synchronized actuating support,Đồ chơi giáo dục,1304,138.87,Tháng 6,2022-03-12,Lazada,The Inkey List,250,4.2
Organized hybrid infrastructure,Sản phẩm chăm sóc thú cưng,1941,199.37,Tháng 3,2024-01-27,Shopee,Missha,76,1.6
Up-sized non-volatile product,Gel lô hội,1926,252.96,Tháng 12,2022-01-12,Shopee,Simple,121,1.3
Extended national monitoring,Đồ bơi,1206,386.29,Tháng 9,2022-07-17,Lazada,L'Oreal Paris,508,4.6
Reduced reciprocal installation,Máy lọc không khí,3458,188.49,Tháng 1,2023-11-08,Lazada,Burt's Bees,534,1.0
User-centric clear-thinking definition,Thực phẩm,4005,138.1,Tháng 11,2023-11-12,Shopee,Dior,319,3.4
Down-sized mobile flexibility,Sản phẩm tập thể dục,1323,499.64,Tháng 10,2023-02-21,Shopee,Drunk Elephant,98,2.4
Switchable modular knowledgebase,Giày dép,2260,445.49,Tháng 2,2024-06-05,Lazada,Dove Body Wash,742,4.1
Distributed non-volatile success,Dầu xả,2594,294.14,Tháng 7,2021-11-19,Shopee,L'Occitane,583,2.6
Right-sized client-server portal,Sản phẩm làm sạch sâu,3041,11.95,Tháng 5,2022-11-02,Lazada,Simple,279,3.3
Object-based multi-state installation,Mỹ phẩm,1567,94.96,Tháng 5,2023-03-11,Lazada,Hada Labo,375,3.7
Balanced logistical system engine,Đồ chơi,3416,415.81,Tháng 4,2024-05-07,Lazada,Lancôme,729,3.0
Visionary contextually-based toolset,Dầu tẩy trang,662,400.66,Tháng 8,2023-12-29,Lazada,Himalaya,57,3.1
Centralized user-facing intranet,Mặt nạ ngủ,482,388.58,Tháng 8,2024-01-26,Lazada,Coca-Cola,433,4.1
Reduced demand-driven info-mediaries,Mỹ phẩm hữu cơ,3017,244.31,Tháng 10,2024-07-03,Shopee,Benton,191,1.1
Automated multi-state adapter,Sản phẩm tập thể dục,4936,286.92,Tháng 7,2022-09-06,Lazada,L'Oreal Paris,785,3.0
Intuitive radical architecture,Mỹ phẩm châu Âu,4940,68.24,Tháng 4,2023-02-12,Lazada,Avène,530,4.9
Front-line zero tolerance firmware,Kem dưỡng,2314,22.82,Tháng 12,2022-10-21,Shopee,Eucerin,898,1.7
Organic zero administration pricing structure,Mỹ phẩm tự nhiên,3426,303.69,Tháng 12,2023-02-05,Lazada,Eucerin,457,2.8
Synergized dynamic structure,Mặt nạ ngủ,3237,423.62,Tháng 5,2023-09-19,Shopee,TIGI,396,2.6
Distributed systematic support,Nước tẩy trang,195,371.58,Tháng 7,2024-08-07,Shopee,L'Oréal Professionnel,678,3.8
Upgradable didactic conglomeration,Sản phẩm dưỡng tóc,2,299.08,Tháng 3,2023-10-22,Lazada,Dell,698,4.2
Stand-alone system-worthy function,Bộ sản phẩm chăm sóc da,1423,125.63,Tháng 11,2021-11-25,Shopee,The Body Shop,241,2.0
Customizable full-range matrix,Thiết bị gia đình,2555,279.53,Tháng 4,2023-11-15,Shopee,L'Oréal,286,3.7
Managed heuristic orchestration,Mặt nạ thiên nhiên,4979,135.48,Tháng 4,2024-06-11,Lazada,Simple,855,1.5
Profound reciprocal capacity,Sản phẩm chăm sóc thú cưng,1534,19.37,Tháng 12,2023-12-05,Shopee,Essie,113,2.8
Function-based intangible firmware,Sản phẩm dưỡng tóc,1278,58.74,Tháng 9,2022-04-01,Lazada,Cosrx,556,3.2
Polarized client-server superstructure,Sản phẩm hỗ trợ sinh lý,1859,83.09,Tháng 2,2022-10-11,Shopee,Yves Rocher,264,3.5
Innovative stable parallelism,Sản phẩm làm đẹp,3212,212.93,Tháng 10,2024-10-20,Shopee,Etude House,213,4.1
Advanced dedicated array,Mỹ phẩm Hàn Quốc,3544,412.79,Tháng 10,2023-10-02,Shopee,Urban Decay,395,3.9
Managed contextually-based info-mediaries,Sản phẩm giảm cân,2328,404.11,Tháng 3,2024-08-10,Lazada,SNAILWHITE,377,2.5
Polarized eco-centric policy,Thời trang,1111,472.89,Tháng 8,2023-12-26,Lazada,Clinique for Men,147,4.0
Vision-oriented fault-tolerant intranet,Sữa tắm,2195,417.0,Tháng 11,2024-09-18,Shopee,Too Faced,709,4.1
Enterprise-wide web-enabled Graphic Interface,Phụ kiện điện thoại,235,98.87,Tháng 8,2022-08-14,Lazada,Huggies,64,4.5
Multi-lateral didactic website,Nội thất,2479,39.91,Tháng 6,2023-01-09,Shopee,LG,211,4.6
Enhanced eco-centric model,Sản phẩm làm sạch sâu,1899,237.71,Tháng 8,2024-07-14,Shopee,Revlon Colorstay,94,2.9
Focused static system engine,Thực phẩm chức năng,42,146.3,Tháng 5,2024-03-23,Lazada,Cosrx,895,4.2
Devolved dedicated access,Sản phẩm giảm cân,309,11.83,Tháng 4,2022-11-23,Shopee,Clinique for Men,461,4.4
Fully-configurable 24hour forecast,Đồ dùng nhà bếp,4864,473.25,Tháng 6,2022-12-24,Lazada,Samsung,864,4.9
Distributed human-resource challenge,Sản phẩm giảm cân,749,203.73,Tháng 2,2023-10-03,Lazada,SNAILWHITE,776,2.4
Horizontal clear-thinking attitude,Máy tính xách tay,4676,54.68,Tháng 6,2022-04-28,Lazada,Garnier,187,1.8
Optional composite circuit,Đồ trang trí,695,355.33,Tháng 5,2022-03-07,Lazada,Nivea Men,753,2.7
Operative optimal array,Sản phẩm làm săn chắc,4867,59.81,Tháng 8,2021-12-08,Lazada,Nestle,555,4.6
Streamlined secondary architecture,Mặt nạ dưỡng da,3066,287.66,Tháng 9,2023-08-10,Lazada,Yves Rocher,406,2.1
Synergized neutral focus group,Sản phẩm chăm sóc da mặt,2423,287.7,Tháng 1,2023-05-05,Shopee,CeraVe,748,4.4
User-centric encompassing matrix,Sản phẩm chăm sóc sức khỏe,2507,371.06,Tháng 12,2024-06-03,Shopee,Coca-Cola,745,3.2
Cross-platform encompassing algorithm,Bánh kẹo,1021,108.47,Tháng 8,2022-01-11,Shopee,Dove,587,2.0
Focused bifurcated knowledgebase,Gel lô hội,2037,336.47,Tháng 8,2024-10-26,Shopee,Garnier,337,2.2
Total modular extranet,Mỹ phẩm Hàn Quốc,1774,297.06,Tháng 3,2024-02-13,Shopee,The Inkey List,13,2.7
Robust 24/7 collaboration,Nước cân bằng,3396,231.57,Tháng 7,2023-06-09,Shopee,Kraft,219,1.1
Public-key bandwidth-monitored open architecture,Nước hoa nữ,3635,104.86,Tháng 10,2023-12-16,Lazada,LANEIGE,548,2.2
Inverse needs-based Internet solution,Serum retinol,4384,417.53,Tháng 7,2022-01-09,Lazada,Tatcha,193,3.0
Versatile zero tolerance throughput,Thực phẩm sạch,3024,374.75,Tháng 11,2022-03-21,Shopee,Dell,441,1.6
Enhanced non-volatile hierarchy,Đồ chơi giáo dục,4002,497.97,Tháng 6,2023-12-28,Shopee,Clarins,772,4.8
Up-sized optimal attitude,Đồ chơi,1103,370.28,Tháng 8,2024-02-23,Shopee,Dove Purely Pampering,486,1.0
Monitored tangible middleware,Đồ bơi,2921,79.34,Tháng 3,2023-08-08,Shopee,Bobbi Brown,490,1.8
Business-focused fault-tolerant policy,Đồ dùng trẻ em,4907,71.32,Tháng 8,2022-05-28,Shopee,Freeman,23,3.2
Automated disintermediate neural-net,Đồ bơi,4931,50.02,Tháng 6,2023-11-22,Shopee,Dove Purely Pampering,387,4.1
Intuitive multi-tasking interface,Đồ handmade,2036,458.1,Tháng 7,2023-01-12,Lazada,TRESemmé,543,3.9
Horizontal multi-state superstructure,Sản phẩm chăm sóc sức khỏe,170,64.94,Tháng 5,2022-03-05,Shopee,Benton,815,2.5
Implemented radical paradigm,Máy làm đẹp,301,449.63,Tháng 7,2022-08-22,Lazada,The Body Shop,269,1.5
Cloned transitional Graphic Interface,Kem chống nắng hóa học,402,446.98,Tháng 8,2022-07-05,Shopee,CeraVe,820,3.0
Business-focused 4thgeneration open architecture,Đồ dùng học tập,2977,306.51,Tháng 7,2022-08-19,Shopee,Dove,350,4.9
Proactive high-level attitude,Son môi,3402,61.03,Tháng 3,2022-06-24,Shopee,Laneige,274,5.0
Multi-layered system-worthy solution,Bảng phấn mắt,1714,215.34,Tháng 8,2024-08-04,Shopee,Neutrogena,322,2.1
Diverse logistical instruction set,Phấn phủ,2656,143.51,Tháng 3,2023-11-21,Shopee,Simple,349,4.2
Diverse modular functionalities,Đồ dùng nhà bếp,1319,447.02,Tháng 8,2024-09-10,Lazada,Biore,949,4.5
Proactive attitude-oriented system engine,Sản phẩm chăm sóc sức khỏe,1482,354.52,Tháng 5,2024-06-08,Shopee,Clinique for Men,104,1.9
Expanded foreground matrix,Đồ chơi giáo dục,3332,173.24,Tháng 5,2023-01-19,Lazada,Avène,751,1.8
Synergized executive framework,Đồ chơi,638,155.37,Tháng 11,2023-02-08,Shopee,Tony Moly,22,3.1
